Kfold,accuracy,loss,tissue,total_error
1.0,0.0,3.7248153686523438,Bone,330.50418293476105
2.0,0.0,0.08679771423339844,Bone,326.8421905040741
3.0,0.0,1.4318389892578125,Bone,216.6357777118683
1.0,0.0,4.09199333190918,Brain,277.46728110313416
2.0,0.0,1.2575092315673828,Brain,238.4553999900818
3.0,0.0,10.099278450012207,Brain,353.5791392326355
1.0,0.0,5.754755020141602,Brown_Fat,350.6112570762634
2.0,0.0,0.7857608795166016,Brown_Fat,249.61005771160126
3.0,0.0,3.4133262634277344,Brown_Fat,230.47676992416382
1.0,0.0,5.42795467376709,Gonadal_Fat,162.18320393562317
2.0,0.0,11.882950782775879,Gonadal_Fat,231.494291305542
3.0,0.0,1.8923053741455078,Gonadal_Fat,174.5396386384964
1.0,0.0,1.3445205688476562,Heart,302.1944028735161
2.0,0.0,0.19620609283447266,Heart,313.67586636543274
3.0,0.0,4.713064193725586,Heart,387.42572021484375
1.0,0.0,2.2078025341033936,Kidney,220.7897458076477
2.0,0.0,4.565340042114258,Kidney,340.3904504776001
3.0,0.0,1.1728763580322266,Kidney,295.5386507511139
1.0,0.0,0.49275875091552734,Limb_Muscle,214.48682570457458
2.0,0.0,0.4102592468261719,Limb_Muscle,176.6617482304573
3.0,0.0,5.127337455749512,Limb_Muscle,308.03519797325134
1.0,0.0,10.926084518432617,Liver,178.17365390062332
2.0,0.0,2.300159454345703,Liver,302.08729887008667
3.0,0.0,2.377704620361328,Liver,236.05266952514648
1.0,0.0,9.956308364868164,Lung,192.19685196876526
2.0,0.0,2.2021212577819824,Lung,198.08833307027817
3.0,0.0,0.9923801422119141,Lung,285.6155047416687
1.0,0.0,13.296257019042969,Marrow,389.6256220340729
2.0,0.0,21.448657989501953,Marrow,385.2847422361374
3.0,0.0,18.73919677734375,Marrow,382.58524465560913
1.0,0.0,1.7769508361816406,Mesenteric_Fat,272.5984498858452
2.0,0.0,0.29821062088012695,Mesenteric_Fat,248.39569735527039
3.0,0.0,0.1825704574584961,Mesenteric_Fat,242.52543807029724
1.0,0.0,6.840697288513184,Pancreas,253.17441028356552
2.0,0.0,9.82281494140625,Pancreas,234.25389909744263
3.0,0.0,6.144964218139648,Pancreas,208.45080095529556
1.0,0.0,0.21002721786499023,Skin,364.33898693323135
2.0,0.0,1.7337961196899414,Skin,409.1896617412567
3.0,0.0,12.458808898925781,Skin,381.613254070282
1.0,0.0,4.99152946472168,Small_Intestine,162.72599601745605
2.0,0.0,9.35413646697998,Small_Intestine,186.2544173002243
3.0,0.0,5.413625717163086,Small_Intestine,285.2383625507355
1.0,0.0,0.724174976348877,Spleen,293.9023109674454
2.0,0.0,1.513206958770752,Spleen,205.17090594768524
3.0,0.0,0.514157772064209,Spleen,190.6110816001892
1.0,0.0,6.690849304199219,Subcutaneous_Fat,227.8030240535736
2.0,0.0,14.078964233398438,Subcutaneous_Fat,408.0506542921066
3.0,0.0,6.60163688659668,Subcutaneous_Fat,320.6866452693939
1.0,0.0,1.0846548080444336,White_Blood_Cells,200.27903401851654
2.0,0.0,5.018101692199707,White_Blood_Cells,224.71424627304077
3.0,0.0,0.016169071197509766,White_Blood_Cells,234.68431961536407
