Kfold,accuracy,loss,tissue,total_error
1.0,0.0,0.3433990478515625,Bone,288.0496450662613
2.0,0.0,0.2853841781616211,Bone,258.648201584816
3.0,0.0,8.481456756591797,Bone,292.5244286060333
1.0,0.0,8.957442283630371,Brain,242.68174862861633
2.0,0.0,3.718679428100586,Brain,346.07908326387405
3.0,0.0,11.000296592712402,Brain,397.5136709213257
1.0,0.0,3.8723583221435547,Brown_Fat,164.8883798122406
2.0,0.0,10.266423225402832,Brown_Fat,256.85959029197693
3.0,0.0,12.91378402709961,Brown_Fat,355.8655319213867
1.0,0.0,1.0971393585205078,Gonadal_Fat,262.33010601997375
2.0,0.0,5.6268110275268555,Gonadal_Fat,192.81793904304504
3.0,0.0,1.3051261901855469,Gonadal_Fat,209.1924169063568
1.0,0.0,1.867100715637207,Heart,227.75962889194489
2.0,0.0,3.8148040771484375,Heart,289.4278426170349
3.0,0.0,6.227443695068359,Heart,408.58868169784546
1.0,0.0,4.280435562133789,Kidney,192.21987879276276
2.0,0.0,8.569779396057129,Kidney,347.5361452102661
3.0,0.0,10.180013656616211,Kidney,307.9245433807373
1.0,0.0,2.5869998931884766,Limb_Muscle,277.4020003080368
2.0,0.0,6.521020889282227,Limb_Muscle,221.26802718639374
